catalog_number|catalog_plate|year_nasa|month|day|hour|minute|second|latitude|longitude|eclipse_type|magnitude_eclipse|lunation_number|saros_number|delta_Ts|QLE|gamma|sun_altitude|sun_azimuth|duration_central|path_width|year_BC|upper|lower|my_50|intensity_category|page|gif
9358|468|1933|2|24|12|46|39|-20.8|-2.1|A|0.9841|-827|129|24|nn|-0.2191|77|331|1.533|58|Feb 24, 1933 AD|1901|2000|1900|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1933-02-24.gif
9359|468|1933|8|21|5|49|11|16.9|95.9|A|0.9801|-821|134|24|nn|0.0869|85|206|2.067|71|Aug 21, 1933 AD|1901|2000|1900|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1933-08-21.gif
9360|468|1934|2|14|12|38|41|13.2|161.7|T|1.0321|-815|139|24|p-|0.4868|61|155|2.883|123|Feb 14, 1934 AD|1901|2000|1900| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1934-02-14.gif
9361|469|1934|8|10|8|37|48|-24.5|34.6|A|0.9436|-809|144|24|p-|-0.6890|46|25|6.55|280|Aug 10, 1934 AD|1901|2000|1900|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1934-08-10.gif
9362|469|1935|1|5|5|35|46|-64.7|-110.2|Pe|0.0013|-804|111|24|-t|-1.5381|0|205|||Jan 05, 1935 AD|1901|2000|1900|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1935-01-05.gif
9363|469|1935|2|3|4|16|20|62.5|-115.4|P|0.7390|-803|149|24|t-|1.1438|0|128|||Feb 03, 1935 AD|1901|2000|1900|0.7999 to 0.7000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1935-02-03.gif
9364|469|1935|6|30|7|59|46|65.2|39.1|P|0.3375|-798|116|24|-t|1.3623|0|340|||Jun 30, 1935 AD|1901|2000|1900|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1935-06-30.gif
9365|469|1935|7|30|9|16|28|-62.9|-5.9|P|0.2315|-797|154|24|t-|-1.4259|0|45|||Jul 30, 1935 AD|1901|2000|1900|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1935-07-30.gif
9366|469|1935|12|25|5|59|52|-83.5|9.4|A|0.9752|-792|121|24|-t|-0.9228|22|258|1.5|234|Dec 25, 1935 AD|1901|2000|1900|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1935-12-25.gif
9367|469|1936|6|19|5|20|31|56.1|104.7|T|1.0329|-786|126|24|-p|0.5389|57|188|2.517|132|Jun 19, 1936 AD|1901|2000|1900| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1936-06-19.gif
9368|469|1936|12|13|11|28|12|-37.8|-172.6|A|0.9349|-780|131|24|-n|-0.2493|75|357|7.417|251|Dec 13, 1936 AD|1901|2000|1900|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1936-12-13.gif
9369|469|1937|6|8|8|41|2|9.9|-130.5|T|1.0751|-774|136|24|n-|-0.2253|77|0|7.067|250|Jun 08, 1937 AD|1901|2000|1900| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1937-06-08.gif
9370|469|1937|12|2|11|5|45|4.0|-167.8|A|0.9184|-768|141|24|p-|0.4389|64|182|12|344|Dec 02, 1937 AD|1901|2000|1900|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1937-12-02.gif
9371|469|1938|5|29|1|50|19|-52.7|-22|T|1.0552|-762|146|24|t-|-0.9607|16|354|4.083|675|May 29, 1938 AD|1901|2000|1900| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1938-05-29.gif
9372|469|1938|11|21|11|52|25|68.9|-162|P|0.7781|-756|151|24|t-|1.1077|0|198|||Nov 21, 1938 AD|1901|2000|1900|0.7999 to 0.7000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1938-11-21.gif
9373|469|1939|4|19|4|45|53|73.1|-129.1|A|0.9731|-751|118|24|-t|0.9388|20|118|1.817|285|Apr 19, 1939 AD|1901|2000|1900|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1939-04-19.gif
9374|469|1939|10|12|8|40|23|-72.8|155.1|T|1.0266|-745|123|24|-p|-0.9737|12|74|1.533|418|Oct 12, 1939 AD|1901|2000|1900| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1939-10-12.gif
9375|469|1940|4|7|8|21|21|19.2|-128.5|A|0.9394|-739|128|24|nn|0.2190|77|163|7.5|230|Apr 07, 1940 AD|1901|2000|1900|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1940-04-07.gif
9376|469|1940|10|1|12|44|6|-17.5|-18.2|T|1.0645|-733|133|25|-n|-0.2573|75|18|5.583|218|Oct 01, 1940 AD|1901|2000|1900| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1940-10-01.gif
9377|469|1941|3|27|8|8|8|-26.2|-110.9|A|0.9355|-727|138|25|p-|-0.5025|60|341|7.683|276|Mar 27, 1941 AD|1901|2000|1900|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1941-03-27.gif
9378|469|1941|9|21|4|34|3|27.3|119.1|T|1.0379|-721|143|25|p-|0.4649|62|200|3.367|143|Sep 21, 1941 AD|1901|2000|1900| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1941-09-21.gif
9379|469|1942|3|16|11|37|7|-72.2|-76.8|P|0.6393|-715|148|25|t-|-1.1908|0|264|||Mar 16, 1942 AD|1901|2000|1900|0.6999 to 0.5000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1942-03-16.gif
9380|469|1942|8|12|2|45|12|-70.4|99.9|Pe|0.0561|-710|115|26|-t|-1.5244|0|39|||Aug 12, 1942 AD|1901|2000|1900|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1942-08-12.gif
9381|470|1942|9|10|3|39|32|71.9|50.0|P|0.5230|-709|153|26|t-|1.2571|0|286|||Sep 10, 1942 AD|1901|2000|1900|0.6999 to 0.5000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1942-09-10.gif
9382|470|1943|2|4|11|38|10|43.6|175.1|T|1.0331|-704|120|26|-p|0.8734|29|165|2.65|229|Feb 04, 1943 AD|1901|2000|1900| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1943-02-04.gif
9383|470|1943|8|1|4|16|13|-34.8|108.6|A|0.9409|-698|125|26|-p|-0.8041|36|11|6.983|367|Aug 01, 1943 AD|1901|2000|1900|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1943-08-01.gif
9384|470|1944|1|25|3|26|42|-7.6|-50.2|T|1.0428|-692|130|26|-n|0.2025|78|172|4.15|146|Jan 25, 1944 AD|1901|2000|1900| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1944-01-25.gif
9385|470|1944|7|20|5|43|13|19.0|95.7|A|0.9700|-686|135|27|nn|-0.0314|88|6|3.7|108|Jul 20, 1944 AD|1901|2000|1900|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1944-07-20.gif
9386|470|1945|1|14|5|1|43|-51.1|110.3|A|0.9970|-680|140|27|n-|-0.4937|60|354|0.25|12|Jan 14, 1945 AD|1901|2000|1900|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1945-01-14.gif
9387|470|1945|7|9|1|27|45|70.0|-17.2|T|1.0180|-674|145|27|p-|0.7356|42|184|1.25|92|Jul 09, 1945 AD|1901|2000|1900| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1945-07-09.gif
9388|470|1946|1|3|12|16|11|-67.1|177.6|P|0.5529|-668|150|27|t-|-1.2392|0|180|||Jan 03, 1946 AD|1901|2000|1900|0.6999 to 0.5000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1946-01-03.gif
9389|470|1946|5|30|9|0|24|-64.1|-101|P|0.8865|-663|117|28|-t|-1.0711|0|328|||May 30, 1946 AD|1901|2000|1900|0.8999 to 0.8000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1946-05-30.gif
9390|470|1946|6|29|3|51|58|66.6|-50.8|P|0.1802|-662|155|28|t-|1.4361|0|6|||Jun 29, 1946 AD|1901|2000|1900|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1946-06-29.gif
9391|470|1946|11|23|5|37|12|63.4|-45.3|P|0.7758|-657|122|28|-t|1.1050|0|219|||Nov 23, 1946 AD|1901|2000|1900|0.7999 to 0.7000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1946-11-23.gif
9392|470|1947|5|20|1|47|47|0.2|-21.4|T|1.0557|-651|127|28|-p|-0.3528|69|343|5.217|196|May 20, 1947 AD|1901|2000|1900| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1947-05-20.gif
9393|470|1947|11|12|8|5|37|3.0|-117.4|A|0.9650|-645|132|28|-n|0.3743|68|200|3.983|135|Nov 12, 1947 AD|1901|2000|1900|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1947-11-12.gif
9394|470|1948|5|9|2|26|4|39.8|131.2|A|0.9999|-639|137|28|p-|0.4133|65|153|0|0|May 09, 1948 AD|1901|2000|1900|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1948-05-09.gif
9395|470|1948|11|1|5|59|18|-33.1|76.2|T|1.0231|-633|142|29|n-|-0.3517|69|28|1.933|84|Nov 01, 1948 AD|1901|2000|1900| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1948-11-01.gif
9396|470|1949|4|28|7|48|53|61.9|-55.7|P|0.6092|-627|147|29|t-|1.2068|0|59|||Apr 28, 1949 AD|1901|2000|1900|0.6999 to 0.5000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1949-04-28.gif
9397|470|1949|10|21|9|13|1|-61.5|107.5|P|0.9638|-621|152|29|t-|-1.0270|0|113|||Oct 21, 1949 AD|1901|2000|1900|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1949-10-21.gif
9398|470|1950|3|18|3|32|1|-60.9|40.9|A-|0.9620|-616|119|29|-t|-0.9988|0|268||-|Mar 18, 1950 AD|1901|2000|1900|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1950-03-18.gif
9399|470|1950|9|12|3|38|47|54.8|172.3|T|1.0182|-610|124|29|-t|0.8903|27|236|1.233|134|Sep 12, 1950 AD|1901|2000|1900| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1950-09-12.gif
9400|470|1951|3|7|8|53|40|-17.7|-123.5|A|0.9896|-604|129|30|-n|-0.2420|76|330|0.983|38|Mar 07, 1951 AD|1901|2000|1950|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1951-03-07.gif
9401|471|1951|9|1|12|51|51|16.5|-8.5|A|0.9747|-598|134|30|nn|0.1557|81|208|2.6|91|Sep 01, 1951 AD|1901|2000|1950|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1951-09-01.gif
9402|471|1952|2|25|9|11|35|15.6|32.7|T|1.0366|-592|139|30|p-|0.4697|62|152|3.15|138|Feb 25, 1952 AD|1901|2000|1950| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1952-02-25.gif
9403|471|1952|8|20|3|13|35|-21.7|-64.1|A|0.9420|-586|144|30|p-|-0.6102|52|27|6.667|264|Aug 20, 1952 AD|1901|2000|1950|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1952-08-20.gif
9404|471|1953|2|14|12|59|30|61.9|104.9|P|0.7596|-580|149|30|t-|1.1331|0|119|||Feb 14, 1953 AD|1901|2000|1950|0.7999 to 0.7000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1953-02-14.gif
9405|471|1953|7|11|2|44|14|64.3|-71.7|P|0.2015|-575|116|30|-t|1.4388|0|331|||Jul 11, 1953 AD|1901|2000|1950|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1953-07-11.gif
9406|471|1953|8|9|3|55|3|-62.2|-114.7|P|0.3729|-574|154|30|t-|-1.3440|0|54|||Aug 09, 1953 AD|1901|2000|1950|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1953-08-09.gif
9407|471|1954|1|5|2|32|1|-79.1|-120.8|A|0.9720|-569|121|31|-t|-0.9296|21|260|1.7|278|Jan 05, 1954 AD|1901|2000|1950|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1954-01-05.gif
9408|471|1954|6|30|12|32|38|60.5|4.2|T|1.0357|-563|126|31|-p|0.6135|52|197|2.583|153|Jun 30, 1954 AD|1901|2000|1950| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1954-06-30.gif
9409|471|1954|12|25|7|36|42|-38.4|68.2|A|0.9323|-557|131|31|-n|-0.2576|75|352|7.65|262|Dec 25, 1954 AD|1901|2000|1950|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1954-12-25.gif
9410|471|1955|6|20|4|10|42|14.8|117.0|T|1.0776|-551|136|31|n-|-0.1528|81|5|7.133|254|Jun 20, 1955 AD|1901|2000|1950| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1955-06-20.gif
9411|471|1955|12|14|7|2|25|2.1|72.2|A|0.9176|-545|141|31|p-|0.4266|65|178|12.15|346|Dec 14, 1955 AD|1901|2000|1950|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1955-12-14.gif
9412|471|1956|6|8|9|20|39|-40.8|-140.7|T|1.0581|-539|146|32|p-|-0.8934|26|0|4.75|429|Jun 08, 1956 AD|1901|2000|1950| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1956-06-08.gif
9413|471|1956|12|2|8|0|35|67.9|64.6|P|0.8047|-533|151|32|t-|1.0923|0|187|||Dec 02, 1956 AD|1901|2000|1950|0.8999 to 0.8000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1956-12-02.gif
9414|471|1957|4|30|12|5|28|70.6|40.3|A+|0.9799|-528|118|32|-t|0.9992|0|41||-|Apr 30, 1957 AD|1901|2000|1950|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1957-04-30.gif
9415|471|1957|10|23|4|54|2|-71.2|-23.1|T-|1.0013|-522|123|32|-t|-1.0022|0|127||-|Oct 23, 1957 AD|1901|2000|1950| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1957-10-23.gif
9416|471|1958|4|19|3|27|17|26.5|123.6|A|0.9408|-516|128|32|np|0.2750|74|164|7.117|228|Apr 19, 1958 AD|1901|2000|1950|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1958-04-19.gif
9417|471|1958|10|12|8|55|28|-24|-142.4|T|1.0608|-510|133|33|-n|-0.2951|73|18|5.183|209|Oct 12, 1958 AD|1901|2000|1950| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1958-10-12.gif
9418|471|1959|4|8|3|24|8|-19.1|137.6|A|0.9401|-504|138|33|p-|-0.4546|63|343|7.433|247|Apr 08, 1959 AD|1901|2000|1950|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1959-04-08.gif
9419|471|1959|10|2|12|27|0|20.4|-1.4|T|1.0325|-498|143|33|n-|0.4207|65|199|3.033|120|Oct 02, 1959 AD|1901|2000|1950| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1959-10-02.gif
9420|471|1960|3|27|7|25|7|-72.1|151.9|P|0.7058|-492|148|33|t-|-1.1537|0|279|||Mar 27, 1960 AD|1901|2000|1950|0.7999 to 0.7000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1960-03-27.gif
9421|472|1960|9|20|10|59|56|72.1|-74.1|P|0.6139|-486|153|33|t-|1.2057|0|273|||Sep 20, 1960 AD|1901|2000|1950|0.6999 to 0.5000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1960-09-20.gif
9422|472|1961|2|15|8|19|48|47.4|40.0|T|1.0360|-481|120|34|-p|0.8830|28|159|2.75|258|Feb 15, 1961 AD|1901|2000|1950| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1961-02-15.gif
9423|472|1961|8|11|10|46|47|-45.8|4.0|A|0.9375|-475|125|34|-p|-0.8859|27|17|6.583|499|Aug 11, 1961 AD|1901|2000|1950|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1961-08-11.gif
9424|472|1962|2|5|12|12|38|-4.2|178.1|T|1.0430|-469|130|34|-n|0.2107|78|169|4.133|147|Feb 05, 1962 AD|1901|2000|1950| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1962-02-05.gif
9425|472|1962|7|31|12|25|33|12.0|-5.7|Am|0.9716|-463|135|34|nn|-0.1130|84|9|3.55|103|Jul 31, 1962 AD|1901|2000|1950|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1962-07-31.gif
9426|472|1963|1|25|1|37|12|-48.2|-15|A|0.9951|-457|140|35|n-|-0.4898|60|348|0.417|20|Jan 25, 1963 AD|1901|2000|1950|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1963-01-25.gif
9427|472|1963|7|20|8|36|13|61.7|-119.6|T|1.0224|-451|145|35|p-|0.6571|49|191|1.667|101|Jul 20, 1963 AD|1901|2000|1950| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1963-07-20.gif
9428|472|1964|1|14|8|30|8|-68.2|43.1|P|0.5591|-445|150|35|t-|-1.2354|0|191|||Jan 14, 1964 AD|1901|2000|1950|0.6999 to 0.5000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1964-01-14.gif
9429|472|1964|6|10|4|34|7|-65|135.9|P|0.7545|-440|117|35|-t|-1.1393|0|338|||Jun 10, 1964 AD|1901|2000|1950|0.7999 to 0.7000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1964-06-10.gif
9430|472|1964|7|9|11|17|53|67.6|-172.9|P|0.3221|-439|155|35|t-|1.3623|0|355|||Jul 09, 1964 AD|1901|2000|1950|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1964-07-09.gif
9431|472|1964|12|4|1|31|54|64.3|-173.3|P|0.7518|-434|122|36|-t|1.1193|0|209|||Dec 04, 1964 AD|1901|2000|1950|0.7999 to 0.7000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1964-12-04.gif
9432|472|1965|5|30|9|17|31|-2.5|-133.8|T|1.0544|-428|127|36|-p|-0.4225|65|347|5.25|198|May 30, 1965 AD|1901|2000|1950| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1965-05-30.gif
9433|472|1965|11|23|4|14|51|1.7|119.8|A|0.9656|-422|132|36|-n|0.3906|67|197|4.033|134|Nov 23, 1965 AD|1901|2000|1950|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1965-11-23.gif
9434|472|1966|5|20|9|39|2|39.2|26.4|A|0.9991|-416|137|37|n-|0.3467|70|158|0.083|3|May 20, 1966 AD|1901|2000|1950|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1966-05-20.gif
9435|472|1966|11|12|2|23|28|-35.6|-48.2|T|1.0234|-410|142|37|n-|-0.3300|71|25|1.95|84|Nov 12, 1966 AD|1901|2000|1950| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1966-11-12.gif
9436|472|1967|5|9|2|42|48|62.5|-168.1|P|0.7201|-404|147|38|t-|1.1422|0|50|||May 09, 1967 AD|1901|2000|1950|0.7999 to 0.7000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1967-05-09.gif
9437|472|1967|11|2|5|38|56|-62|-27.8|T-|1.0126|-398|152|38|t-|-1.0007|0|122||-|Nov 02, 1967 AD|1901|2000|1950| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1967-11-02.gif
9438|472|1968|3|28|11|0|30|-61|-79.8|P|0.8990|-393|119|38|-t|-1.0370|0|277|||Mar 28, 1968 AD|1901|2000|1950|0.8999 to 0.8000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1968-03-28.gif
9439|472|1968|9|22|11|18|46|56.2|64.0|T|1.0099|-387|124|39|-t|0.9451|19|240|0.667|104|Sep 22, 1968 AD|1901|2000|1950| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1901-2000/1968-09-22.gif
