catalog_number|year_nasa|month|day|hour|minute|second|latitude|longitude|eclipse_type|magnitude_umbral|lunation_number|saros_number|delta_Ts|QSE|gamma|magnitude_penumbral|duration_penumbral|duration_parial|duration_total|year_BC|upper|lower|my_50|intensity_category|page|gif
9245|1829|9|13|6|33|27|-3|-100|P|0.5046|-2107|115|8|-a|0.7509|1.455|4.617|2.383||Sep 13, 1829 AD|1801|1900|1800|0.7499 to 0.5000|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1829-09-13P.gif
9246|1830|3|9|1|42|57|4|157|T-|1.6632|-2101|120|7|pp|-0.0824|2.751|6.233|3.883|1.717|Mar 9, 1830 AD|1801|1900|1800| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1830-03-09T.gif
9247|1830|9|2|10|37|55|-8|20|T+|1.8034|-2095|125|7|pp|0.0371|2.776|5.45|3.583|1.667|Sep 2, 1830 AD|1801|1900|1800| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1830-09-02T.gif
9248|1831|2|26|4|56|21|9|109|P|0.6897|-2089|130|7|a-|0.6246|1.7346|5.4|2.933||Feb 26, 1831 AD|1801|1900|1800|0.7499 to 0.5000|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1831-02-26P.gif
9249|1831|8|23|9|59|56|-12|-149|P|0.4833|-2083|135|7|t-|-0.7428|1.5067|5.15|2.533||Aug 23, 1831 AD|1801|1900|1800|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1831-08-23P.gif
9250|1832|1|17|4|18|15|19|118|N|-0.7245|-2078|102|7|-a|-1.4135|0.2527|2.2|||Jan 17, 1832 AD|1801|1900|1800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1832-01-17N.gif
9251|1832|2|16|3|20|41|14|-46|N|-0.4838|-2077|140|7|a-|1.2783|0.5083|3.133|||Feb 16, 1832 AD|1801|1900|1800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1832-02-16N.gif
9252|1832|7|12|11|15|58|-21|12|N|-0.5769|-2072|107|6|-t|1.3081|0.4929|3.483|||Jul 12, 1832 AD|1801|1900|1800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1832-07-12N.gif
9253|1832|8|11|2|14|52|-17|148|Nb|-1|-2071|145|6|t-|-1.5396|0.0662|1.317|||Aug 11, 1832 AD|1801|1900|1800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1832-08-11N.gif
9254|1833|1|6|7|59|45|22|-118|P|0.4733|-2066|112|6|-a|-0.7611|1.4491|4.667|2.333||Jan 6, 1833 AD|1801|1900|1800|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1833-01-06P.gif
9255|1833|7|2|12|43|22|-23|-10|P|0.8572|-2060|117|6|-t|0.5329|1.9036|5.7|3.267||Jul 2, 1833 AD|1801|1900|1800|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1833-07-02P.gif
9256|1833|12|26|9|32|54|23|37|T-|1.6749|-2054|122|6|-p|-0.0951|2.692|5.633|3.617|1.633|Dec 26, 1833 AD|1801|1900|1800| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1833-12-26T.gif
9257|1834|6|21|8|19|45|-24|-125|T-|1.3871|-2048|127|6|p-|-0.2583|2.3806|5.583|3.567|1.417|Jun 21, 1834 AD|1801|1900|1800| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1834-06-21T.gif
9258|1834|12|16|4|48|7|24|-73|P|0.6746|-2042|132|6|t-|0.6249|1.7487|5.567|2.967||Dec 16, 1834 AD|1801|1900|1800|0.7499 to 0.5000|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1834-12-16P.gif
9259|1835|5|12|3|28|42|-17|127|Ne|-0.8969|-2037|99|6|-a|1.516|0.0489|0.967|||May 12, 1835 AD|1801|1900|1800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1835-05-12N.gif
9260|1835|6|10|10|35|53|-24|21|P|0.0681|-2036|137|6|a-|-0.9888|1.0184|4.1|0.933||Jun 10, 1835 AD|1801|1900|1800|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1835-06-10P.gif
9261|1835|12|5|5|20|19|23|-83|N|-0.6322|-2030|142|6|t-|1.329|0.4717|3.433|||Dec 5, 1835 AD|1801|1900|1800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1835-12-05N.gif
9262|1836|5|1|8|6|48|-14|-122|P|0.3528|-2025|109|5|-a|0.8299|1.3173|4.567|2.083||May 1, 1836 AD|1801|1900|1800|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1836-05-01P.gif
9263|1836|10|24|1|14|42|11|158|P|0.0966|-2019|114|5|-t|-0.9472|1.1435|4.717|1.2||Oct 24, 1836 AD|1801|1900|1800|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1836-10-24P.gif
9264|1837|4|20|8|40|45|-12|50|T+|1.6597|-2013|119|5|pp|0.1033|2.6772|5.767|3.7|1.667|Apr 20, 1837 AD|1801|1900|1800| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1837-04-20T.gif
9265|1837|10|13|11|17|6|8|7|T-|1.5192|-2007|124|5|-p|-0.1878|2.5074|5.467|3.533|1.533|Oct 13, 1837 AD|1801|1900|1800| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1837-10-13T.gif
9266|1838|4|10|1|58|48|-8|-30|P|0.6076|-2001|129|5|t-|-0.6622|1.6788|5.6|2.883||Apr 10, 1838 AD|1801|1900|1800|0.7499 to 0.5000|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1838-04-10P.gif
9267|1838|10|3|2|41|28|4|137|P|0.9288|-1995|134|5|a-|0.5182|1.8849|5|3.033||Oct 3, 1838 AD|1801|1900|1800|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1838-10-03P.gif
9268|1839|2|28|8|53|39|9|-129|Ne|-1.0576|-1990|101|5|-t|1.5671|0.0232|0.767|||Feb 28, 1839 AD|1801|1900|1800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1839-02-28N.gif
9269|1839|3|30|2|3|5|-5|-30|N|-0.7269|-1989|139|5|t-|-1.3853|0.3595|3.017|||Mar 30, 1839 AD|1801|1900|1800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1839-03-30N.gif
9270|1839|8|24|9|52|11|-12|33|N|-0.656|-1984|106|5|-a|-1.3743|0.3281|2.583|||Aug 24, 1839 AD|1801|1900|1800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1839-08-24N.gif
9271|1839|9|23|6|57|39|1|-107|N|-0.3855|-1983|144|5|a-|1.2311|0.583|3.283|||Sep 23, 1839 AD|1801|1900|1800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1839-09-23N.gif
9272|1840|2|17|2|2|34|13|153|P|0.3615|-1978|111|5|-a|0.8074|1.3917|4.95|2.2||Feb 17, 1840 AD|1801|1900|1800|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1840-02-17P.gif
9273|1840|8|13|7|23|8|-15|-109|P|0.6074|-1972|116|5|-t|-0.6716|1.6443|5.383|2.833||Aug 13, 1840 AD|1801|1900|1800|0.7499 to 0.5000|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1840-08-13P.gif
9274|1841|2|6|2|7|13|16|-28|T+|1.7178|-1966|121|5|pp|0.0812|2.6999|5.4|3.533|1.617|Feb 6, 1841 AD|1801|1900|1800| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1841-02-06T.gif
9275|1841|8|2|10|0|51|-18|-149|T+|1.6678|-1960|126|5|pp|0.0846|2.7381|6.217|3.917|1.733|Aug 2, 1841 AD|1801|1900|1800| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1841-08-02T.gif
9276|1842|1|26|5|44|27|18|97|P|0.793|-1954|131|5|a-|-0.5884|1.7634|4.917|2.867||Jan 26, 1842 AD|1801|1900|1800|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1842-01-26P.gif
9277|1842|7|22|10|47|38|-20|-161|P|0.2917|-1948|136|6|t-|0.8383|1.348|5.183|2.1||Jul 22, 1842 AD|1801|1900|1800|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1842-07-22P.gif
9278|1842|12|17|7|2|29|25|74|N|-0.9253|-1943|103|6|-a|1.5078|0.1082|1.567|||Dec 17, 1842 AD|1801|1900|1800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1842-12-17N.gif
9279|1843|1|16|8|14|24|20|-121|N|-0.5083|-1942|141|6|a-|-1.2885|0.4955|3.117|||Jan 16, 1843 AD|1801|1900|1800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1843-01-16N.gif
9280|1843|6|12|7|22|16|-24|-111|N|-0.1073|-1937|108|6|-h|-1.0767|0.8717|4|||Jun 12, 1843 AD|1801|1900|1800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1843-06-12N.gif
9281|1843|7|11|4|49|54|-21|108|Nb|-0.9831|-1936|146|6|h-|1.5468|0.0226|0.717|||Jul 11, 1843 AD|1801|1900|1800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1843-07-11N.gif
9282|1843|12|7|12|11|31|23|-5|P|0.2031|-1931|113|6|-t|0.8785|1.2896|5.133|1.767||Dec 7, 1843 AD|1801|1900|1800|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1843-12-07P.gif
9283|1844|5|31|10|50|43|-22|17|T|1.3255|-1925|118|6|-p|-0.305|2.2706|5.2|3.367|1.283|May 31, 1844 AD|1801|1900|1800| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1844-05-31T.gif
9284|1844|11|24|11|44|52|21|1|T+|1.4358|-1919|123|6|pp|0.2026|2.5375|6.25|3.833|1.55|Nov 24, 1844 AD|1801|1900|1800| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1844-11-24T.gif
9285|1845|5|21|3|54|30|-20|121|T|1.0957|-1913|128|6|a-|0.4281|2.0488|5.133|3.217|0.75|May 21, 1845 AD|1801|1900|1800| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1845-05-21T.gif
9286|1845|11|14|12|49|42|18|-16|P|0.9221|-1907|133|6|h-|-0.4924|1.9872|5.733|3.3||Nov 14, 1845 AD|1801|1900|1800|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1845-11-14P.gif
9287|1846|4|11|6|11|36|-10|87|N|-0.9366|-1902|100|6|-h|-1.5131|0.0998|1.533|||Apr 11, 1846 AD|1801|1900|1800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1846-04-11N.gif
9288|1846|5|11|5|53|43|-17|-89|N|-0.3643|-1901|138|6|h-|1.2111|0.6355|3.567|||May 11, 1846 AD|1801|1900|1800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1846-05-11N.gif
9289|1846|10|4|10|21|39|6|21|N|-0.8954|-1896|105|6|-a|1.5077|0.0779|1.25|||Oct 4, 1846 AD|1801|1900|1800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1846-10-04N.gif
9290|1846|11|3|8|59|23|14|-139|N|-0.2766|-1895|143|6|a-|-1.1618|0.7287|3.733|||Nov 3, 1846 AD|1801|1900|1800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1846-11-03N.gif
9291|1847|3|31|9|27|3|-5|39|P|0.2856|-1890|110|6|-t|-0.8345|1.3684|5.3|2.1||Mar 31, 1847 AD|1801|1900|1800|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1847-03-31P.gif
9292|1847|9|24|2|33|44|1|139|P|0.4181|-1884|115|7|-a|0.7973|1.3714|4.533|2.2||Sep 24, 1847 AD|1801|1900|1800|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1847-09-24P.gif
9293|1848|3|19|9|12|12|0|44|T-|1.5993|-1878|120|7|pp|-0.1186|2.6823|6.2|3.867|1.683|Mar 19, 1848 AD|1801|1900|1800| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1848-03-19T.gif
9294|1848|9|13|6|19|25|-4|-96|T+|1.6997|-1872|125|7|pp|0.0922|2.6776|5.467|3.583|1.633|Sep 13, 1848 AD|1801|1900|1800| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1848-09-13T.gif
9295|1849|3|9|12|55|49|5|-11|P|0.7414|-1866|130|7|a-|0.598|1.7804|5.417|3||Mar 9, 1849 AD|1801|1900|1800|0.7499 to 0.5000|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1849-03-09P.gif
9296|1849|9|2|5|10|17|-8|103|P|0.5945|-1860|135|7|t-|-0.6806|1.6238|5.283|2.767||Sep 2, 1849 AD|1801|1900|1800|0.7499 to 0.5000|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1849-09-02P.gif
9297|1850|1|28|1|6|6|17|-13|N|-0.7305|-1855|102|7|-a|-1.4175|0.2442|2.167|||Jan 28, 1850 AD|1801|1900|1800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1850-01-28N.gif
9298|1850|2|26|11|48|11|10|-173|N|-0.4453|-1854|140|7|a-|1.2587|0.542|3.2|||Feb 26, 1850 AD|1801|1900|1800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1850-02-26N.gif
9299|1850|7|24|5|40|16|-19|-84|N|-0.7337|-1849|107|7|-t|1.3933|0.3371|2.917|||Jul 24, 1850 AD|1801|1900|1800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1850-07-24N.gif
9300|1850|8|22|8|54|59|-13|47|N|-0.8704|-1848|145|7|t-|-1.4679|0.1997|2.267|||Aug 22, 1850 AD|1801|1900|1800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1850-08-22N.gif
9301|1851|1|17|4|50|47|20|110|P|0.4642|-1843|112|7|-a|-0.766|1.4406|4.667|2.317||Jan 17, 1851 AD|1801|1900|1850|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1851-01-17P.gif
9302|1851|7|13|7|21|41|-21|-109|P|0.7069|-1837|117|7|-t|0.6154|1.7508|5.55|3.033||Jul 13, 1851 AD|1801|1900|1850|0.7499 to 0.5000|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1851-07-13P.gif
9303|1852|1|7|6|10|44|22|-91|T-|1.6663|-1831|122|7|-p|-0.0991|2.6863|5.65|3.633|1.633|Jan 7, 1852 AD|1801|1900|1850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1852-01-07T.gif
9304|1852|7|1|3|26|13|-23|129|T-|1.533|-1825|127|7|p-|-0.1799|2.5227|5.583|3.617|1.567|Jul 1, 1852 AD|1801|1900|1850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1852-07-01T.gif
9305|1852|12|26|1|3|6|24|164|P|0.6815|-1819|132|7|t-|0.6203|1.7588|5.6|2.983||Dec 26, 1852 AD|1801|1900|1850|0.7499 to 0.5000|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1852-12-26P.gif
9306|1853|6|21|6|1|48|-24|-90|P|0.2056|-1813|137|7|a-|-0.9146|1.1535|4.283|1.6||Jun 21, 1853 AD|1801|1900|1850|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1853-06-21P.gif
9307|1853|12|15|1|18|43|24|159|N|-0.6138|-1807|142|7|t-|1.3186|0.4917|3.517|||Dec 15, 1853 AD|1801|1900|1850| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1853-12-15N.gif
9308|1854|5|12|3|46|9|-17|123|P|0.2389|-1802|109|7|-a|0.8919|1.2035|4.433|1.75||May 12, 1854 AD|1801|1900|1850|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1854-05-12P.gif
9309|1854|11|4|9|12|48|15|38|P|0.0537|-1796|114|7|-h|-0.9707|1.1004|4.633|0.9||Nov 4, 1854 AD|1801|1900|1850|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1854-11-04P.gif
9310|1855|5|2|4|5|23|-15|-62|T+|1.5509|-1790|119|7|-p|0.1625|2.569|5.767|3.683|1.6|May 2, 1855 AD|1801|1900|1850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1855-05-02T.gif
9311|1855|10|25|7|29|40|12|-116|T-|1.4643|-1784|124|7|-p|-0.2177|2.4527|5.45|3.5|1.467|Oct 25, 1855 AD|1801|1900|1850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1855-10-25T.gif
9312|1856|4|20|9|6|46|-12|-137|P|0.7098|-1778|129|7|t-|-0.6068|1.7799|5.7|3.083||Apr 20, 1856 AD|1801|1900|1850|0.7499 to 0.5000|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1856-04-20P.gif
9313|1856|10|13|10|54|33|9|13|P|0.996|-1772|134|7|a-|0.4809|1.9545|5.033|3.1||Oct 13, 1856 AD|1801|1900|1850|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1856-10-13P.gif
9314|1857|4|9|9|13|19|-9|-138|N|-0.6318|-1766|139|7|t-|-1.3347|0.4503|3.35|||Apr 9, 1857 AD|1801|1900|1850| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1857-04-09N.gif
9315|1857|9|4|5|22|14|-8|-80|N|-0.7748|-1761|106|7|-a|-1.4376|0.2148|2.117|||Sep 4, 1857 AD|1801|1900|1850| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1857-09-04N.gif
9316|1857|10|3|2|56|57|5|132|N|-0.315|-1760|144|7|a-|1.1914|0.6585|3.467|||Oct 3, 1857 AD|1801|1900|1850| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1857-10-03N.gif
9317|1858|2|27|10|14|20|9|30|P|0.3316|-1755|111|7|-a|0.8252|1.3561|4.883|2.1||Feb 27, 1858 AD|1801|1900|1850|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1858-02-27P.gif
9318|1858|8|24|2|20|46|-12|146|P|0.4707|-1749|116|7|-t|-0.7446|1.513|5.267|2.55||Aug 24, 1858 AD|1801|1900|1850|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1858-08-24P.gif
9319|1859|2|17|10|43|28|12|-157|T+|1.6944|-1743|121|7|pp|0.095|2.6727|5.383|3.517|1.6|Feb 17, 1859 AD|1801|1900|1850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1859-02-17T.gif
9320|1859|8|13|4|34|26|-15|113|T+|1.8148|-1737|126|7|pp|0.0038|2.8877|6.233|3.933|1.767|Aug 13, 1859 AD|1801|1900|1850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1859-08-13T.gif
9321|1860|2|7|2|29|45|15|-34|P|0.8106|-1731|131|8|a-|-0.579|1.7801|4.933|2.883||Feb 7, 1860 AD|1801|1900|1850|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1860-02-07P.gif
9322|1860|8|1|5|25|3|-17|100|P|0.445|-1725|136|8|t-|0.7551|1.5003|5.367|2.533||Aug 1, 1860 AD|1801|1900|1850|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1860-08-01P.gif
9323|1860|12|28|3|33|54|25|-53|N|-0.9419|-1720|103|8|-a|1.5159|0.095|1.467|||Dec 28, 1860 AD|1801|1900|1850| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1860-12-28N.gif
9324|1861|1|26|4|54|3|17|109|N|-0.5052|-1719|141|8|a-|-1.2864|0.5002|3.15|||Jan 26, 1861 AD|1801|1900|1850| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1861-01-26N.gif
9325|1861|6|22|2|35|14|-25|142|N|-0.2355|-1714|108|8|-a|-1.1476|0.7397|3.717|||Jun 22, 1861 AD|1801|1900|1850| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/1801-1900/LE1861-06-22N.gif
